measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Mauritania,Both,All Ages,All causes,Rate,2017,512.2730954160046,566.9045539959793,457.9534724827426
Deaths,Peru,Both,All Ages,All causes,Number,2017,141758.55612471642,157908.16419064812,126715.16031896492
Deaths,Peru,Both,All Ages,All causes,Rate,2017,426.731527024539,475.34620750110764,381.44684411499264
Deaths,Thailand,Both,All Ages,All causes,Number,2017,467227.98251778126,503474.6906604747,429812.93651108135
Deaths,Thailand,Both,All Ages,All causes,Rate,2017,661.5517915222686,712.8737919285069,608.5755323045781
Deaths,Saint Vincent and the Grenadines,Both,All Ages,All causes,Number,2017,1005.1716443199821,1050.8116226888988,963.2335057701927
Deaths,Saint Vincent and the Grenadines,Both,All Ages,All causes,Rate,2017,880.8668365987019,920.8627354040839,844.1149886472184
Deaths,Honduras,Both,All Ages,All causes,Number,2017,44427.874499215155,50611.8489135646,38310.60801690423
Deaths,Honduras,Both,All Ages,All causes,Rate,2017,467.72019657576436,532.8227872646373,403.3198822716591
Deaths,Switzerland,Both,All Ages,All causes,Number,2017,64565.073646009725,67405.18933929487,61602.89827195129
Deaths,Switzerland,Both,All Ages,All causes,Rate,2017,751.3606213236521,784.411789260632,716.8890130091503
Deaths,South Korea,Both,All Ages,All causes,Number,2017,299614.9480931351,315099.1119494155,284397.56929772976
Deaths,South Korea,Both,All Ages,All causes,Rate,2017,568.8451319720102,598.2431686466163,539.9536100228131
Deaths,Singapore,Both,All Ages,All causes,Number,2017,19840.390386524676,20898.626238874098,18862.731351647777
Deaths,Singapore,Both,All Ages,All causes,Rate,2017,356.29807570227644,375.3021068975167,338.7410606419191
Deaths,Uganda,Both,All Ages,All causes,Number,2017,232630.54427390033,256092.47777073248,213451.19268579787
Deaths,Uganda,Both,All Ages,All causes,Rate,2017,595.2921674466617,655.3303076978154,546.2129813374625
Deaths,Gabon,Both,All Ages,All causes,Number,2017,11135.352932680653,12187.499600599785,10090.937385874833
Deaths,Gabon,Both,All Ages,All causes,Rate,2017,653.9744754015117,715.7665954499429,592.6364007618693
Deaths,Timor-Leste,Both,All Ages,All causes,Number,2017,7192.822324596604,7846.265066813008,6558.175194800868
Deaths,Timor-Leste,Both,All Ages,All causes,Rate,2017,558.6717243301207,609.4250958261298,509.37822167655236
Deaths,Guatemala,Both,All Ages,All causes,Number,2017,89106.43918368036,97069.16767799518,82119.2297927287
Deaths,Guatemala,Both,All Ages,All causes,Rate,2017,526.5028588151713,573.5522006431378,485.21756278967445
Deaths,Bolivia,Both,All Ages,All causes,Number,2017,66605.3691746575,75674.9533129864,57820.57422511118
Deaths,Bolivia,Both,All Ages,All causes,Rate,2017,577.0198362333953,655.592029722485,500.91484641134446
Deaths,Botswana,Both,All Ages,All causes,Number,2017,14257.946329847937,15996.510010458354,12983.496221019574
Deaths,Botswana,Both,All Ages,All causes,Rate,2017,624.843443797103,701.0346492008597,568.9916558519595
Deaths,Lesotho,Both,All Ages,All causes,Number,2017,25216.91565434806,28052.207721634237,22245.422748875528
Deaths,Lesotho,Both,All Ages,All causes,Rate,2017,1294.783186143028,1440.363579353959,1142.2094493511652
Deaths,Sweden,Both,All Ages,All causes,Number,2017,91940.99134960561,95503.36717991129,88310.3353881327
Deaths,Sweden,Both,All Ages,All causes,Rate,2017,915.291424126909,950.755606088981,879.1474994561892
Deaths,Algeria,Both,All Ages,All causes,Number,2017,167907.4347127858,174977.56279127684,161067.61440078204
Deaths,Algeria,Both,All Ages,All causes,Rate,2017,414.95820313442005,432.4309710818262,398.05460651115885
Deaths,Andorra,Both,All Ages,All causes,Number,2017,559.4858724959412,609.6491201748172,510.39234601482997
Deaths,Andorra,Both,All Ages,All causes,Rate,2017,699.6546801209942,762.3853990433898,638.2616812005385
Deaths,Netherlands,Both,All Ages,All causes,Number,2017,152061.64052563105,159470.8898757236,145358.91324611567
Deaths,Netherlands,Both,All Ages,All causes,Rate,2017,892.9518433372195,936.4611915333873,853.5914059583976
Deaths,Kazakhstan,Both,All Ages,All causes,Number,2017,134591.65358481446,139815.84613222012,129773.28660974192
Deaths,Kazakhstan,Both,All Ages,All causes,Rate,2017,751.7266601719551,780.9050283036884,724.814925178138
Deaths,Tanzania,Both,All Ages,All causes,Number,2017,342550.72031168453,378894.9639884875,311490.30169032264
Deaths,Tanzania,Both,All Ages,All causes,Rate,2017,634.6689237420838,702.0065781413743,577.1210007966532
Deaths,Jordan,Both,All Ages,All causes,Number,2017,27515.49062606179,30070.288845537776,25190.981860564996
Deaths,Jordan,Both,All Ages,All causes,Rate,2017,258.3987026545405,282.390880530934,236.56917915171144
Deaths,Suriname,Both,All Ages,All causes,Number,2017,4297.7115580589325,4638.375567745905,3946.0130760374736
Deaths,Suriname,Both,All Ages,All causes,Rate,2017,750.7402829384647,810.2487426301764,689.3042804671711
Deaths,Democratic Republic of the Congo,Both,All Ages,All causes,Number,2017,642873.0952611481,715297.1020401262,577580.4112607992
Deaths,Democratic Republic of the Congo,Both,All Ages,All causes,Rate,2017,794.8021423285514,884.3419849013163,714.0789552728268
Deaths,Saint Lucia,Both,All Ages,All causes,Number,2017,1329.6665750066068,1395.038785067757,1268.8817291764083
Deaths,Saint Lucia,Both,All Ages,All causes,Rate,2017,753.4612595935265,790.5047024091361,719.0172663667329
Deaths,Vanuatu,Both,All Ages,All causes,Number,2017,2236.166768279572,2751.383963167269,1823.9714755408174
Deaths,Vanuatu,Both,All Ages,All causes,Rate,2017,777.6139776146541,956.7777582124359,634.275463829647
Deaths,Federated States of Micronesia,Both,All Ages,All causes,Number,2017,747.3489716065475,831.177935913789,667.8933476223025
Deaths,Federated States of Micronesia,Both,All Ages,All causes,Rate,2017,719.1143005927039,799.7762260485266,642.660491675619
Deaths,Kyrgyzstan,Both,All Ages,All causes,Number,2017,33901.24221956858,34685.808605782426,33097.853202810555
Deaths,Kyrgyzstan,Both,All Ages,All causes,Rate,2017,532.3206229169399,544.6399610911593,519.7057299559245
Deaths,Kenya,Both,All Ages,All causes,Number,2017,288899.3113731914,297169.2663493565,280686.53994449717
Deaths,Kenya,Both,All Ages,All causes,Rate,2017,597.8038130251574,614.9163862424464,580.8095666483109
Deaths,Papua New Guinea,Both,All Ages,All causes,Number,2017,84869.33194772842,96518.7067891674,74539.17265309748
Deaths,Papua New Guinea,Both,All Ages,All causes,Rate,2017,919.7384467090094,1045.9840253639122,807.7893545475166
Deaths,Paraguay,Both,All Ages,All causes,Number,2017,32695.74516727453,37319.61064745239,28811.343161161993
Deaths,Paraguay,Both,All Ages,All causes,Rate,2017,471.720098229678,538.4312334967057,415.67762277874436
Deaths,Bahrain,Both,All Ages,All causes,Number,2017,3326.1728249568455,3587.9070295572174,3089.5049044535126
Deaths,Bahrain,Both,All Ages,All causes,Rate,2017,226.2129055399297,244.01344027389968,210.117127971352
Deaths,Colombia,Both,All Ages,All causes,Number,2017,234216.5810971164,255101.56922826872,214782.4849361198
Deaths,Colombia,Both,All Ages,All causes,Rate,2017,462.8223019705783,504.09196032785906,424.41967018499906
Deaths,Madagascar,Both,All Ages,All causes,Number,2017,184888.57575799344,212987.5089225129,161143.20278992577
Deaths,Madagascar,Both,All Ages,All causes,Rate,2017,708.1470043937312,815.7695292876415,617.1991745096454
Deaths,Austria,Both,All Ages,All causes,Number,2017,81371.37953493644,85119.61869228807,77969.19503718271
Deaths,Austria,Both,All Ages,All causes,Rate,2017,925.3976890104279,968.0246159950235,886.706275766577
Deaths,Mongolia,Both,All Ages,All causes,Number,2017,21210.01455054702,22822.42608936416,19674.95540196368
Deaths,Mongolia,Both,All Ages,All causes,Rate,2017,652.3297038233787,701.9206147136716,605.1178229752865
Deaths,Northern Mariana Islands,Both,All Ages,All causes,Number,2017,265.4824325601155,288.3178241931259,242.77379964703783
Deaths,Northern Mariana Islands,Both,All Ages,All causes,Rate,2017,591.5627382947881,642.4458294062827,540.9620980209746
Deaths,Montenegro,Both,All Ages,All causes,Number,2017,6502.302865794328,6941.596711233466,6107.098997681401
Deaths,Montenegro,Both,All Ages,All causes,Rate,2017,1038.1792454389442,1108.3183580575112,975.0796848585859
Deaths,China,Both,All Ages,All causes,Number,2017,10452104.19125356,10762043.940796208,10151788.899856174
Deaths,China,Both,All Ages,All causes,Rate,2017,739.9822513432873,761.9251931137379,718.7206966003677
Deaths,Slovenia,Both,All Ages,All causes,Number,2017,19903.95618200428,21039.749976117593,18852.655750480815
Deaths,Slovenia,Both,All Ages,All causes,Rate,2017,962.0753460919493,1016.9749448234135,911.2598088562419
Deaths,Kuwait,Both,All Ages,All causes,Number,2017,7732.700448983594,8142.505480928954,7354.407004425124
Deaths,Kuwait,Both,All Ages,All causes,Rate,2017,181.42509424074572,191.0399651427719,172.54955014299145
Deaths,Costa Rica,Both,All Ages,All causes,Number,2017,23551.22803992005,24687.992813016073,22445.941088309104
Deaths,Costa Rica,Both,All Ages,All causes,Rate,2017,506.0716660695468,530.4986064258944,482.3211249878434
Deaths,Czech Republic,Both,All Ages,All causes,Number,2017,110500.69380344561,115822.31479449739,105463.56014875567
Deaths,Czech Republic,Both,All Ages,All causes,Rate,2017,1043.1746854466874,1093.41310578893,995.6219494871212
Deaths,Puerto Rico,Both,All Ages,All causes,Number,2017,34519.649664422854,35968.55119177526,33093.3552406515
Deaths,Puerto Rico,Both,All Ages,All causes,Rate,2017,941.6464095891668,981.1703599867801,902.7391484721584
Deaths,Poland,Both,All Ages,All causes,Number,2017,394350.87119056366,411207.58873703366,379107.8563828882
Deaths,Poland,Both,All Ages,All causes,Rate,2017,1027.1410079978755,1071.0466441131048,987.4384823074566
Deaths,Nicaragua,Both,All Ages,All causes,Number,2017,23173.67946185679,25173.18712681065,21391.394259425022
Deaths,Nicaragua,Both,All Ages,All causes,Rate,2017,362.28290798665165,393.541968620222,334.41976838202686
Deaths,Belgium,Both,All Ages,All causes,Number,2017,108891.57899005283,113903.30931694404,104219.0022388333
Deaths,Belgium,Both,All Ages,All causes,Rate,2017,961.9898115585978,1006.2653520316491,920.7104833489353
Deaths,Burundi,Both,All Ages,All causes,Number,2017,81916.8344968599,91909.86246261101,73118.99035278926
Deaths,Burundi,Both,All Ages,All causes,Rate,2017,751.1575371747807,842.7911839309932,670.4834366642079
Deaths,Bermuda,Both,All Ages,All causes,Number,2017,526.2722920407928,555.7818647365997,499.7483682834396
Deaths,Bermuda,Both,All Ages,All causes,Rate,2017,798.761031082733,843.5498164126802,758.5037783084595
Deaths,Argentina,Both,All Ages,All causes,Number,2017,332465.3298372004,363637.6064443386,306009.7693981891
Deaths,Argentina,Both,All Ages,All causes,Rate,2017,751.0640487031901,821.4845532632211,691.2989587800823
Deaths,Angola,Both,All Ages,All causes,Number,2017,184355.5217205569,205996.19922195852,163279.72162338096
Deaths,Angola,Both,All Ages,All causes,Rate,2017,653.6897010717206,730.4234374678746,578.958912773156
Deaths,Namibia,Both,All Ages,All causes,Number,2017,17000.852741055285,18946.69211522356,15259.523382885725
Deaths,Namibia,Both,All Ages,All causes,Rate,2017,722.363889408557,805.0423361840021,648.3750450212972
Deaths,Tonga,Both,All Ages,All causes,Number,2017,700.788622087912,778.6473154899419,629.6651332792981
Deaths,Tonga,Both,All Ages,All causes,Rate,2017,681.4487887190999,757.1587968981556,612.2881120607017
Deaths,United Kingdom,Both,All Ages,All causes,Number,2017,608261.5054415703,613315.2954516917,603285.952130737
Deaths,United Kingdom,Both,All Ages,All causes,Rate,2017,912.8187890114414,920.4030178927483,905.3519700409402
Deaths,Antigua and Barbuda,Both,All Ages,All causes,Number,2017,563.3243667609964,591.5619899682846,532.71865245947
Deaths,Antigua and Barbuda,Both,All Ages,All causes,Rate,2017,633.2521680004616,664.9950450537152,598.8472388366812
Deaths,Comoros,Both,All Ages,All causes,Number,2017,4418.41245733045,4904.444640908324,3944.5236174179277
Deaths,Comoros,Both,All Ages,All causes,Rate,2017,615.1021598978318,682.7643459851927,549.1304898021459
Deaths,Luxembourg,Both,All Ages,All causes,Number,2017,4416.967090777893,4726.902014758531,4116.199335476811
Deaths,Luxembourg,Both,All Ages,All causes,Rate,2017,747.9455448167381,800.428264477121,697.0151443906944
Deaths,South Africa,Both,All Ages,All causes,Number,2017,475367.45804488356,495033.0303946106,458467.5923671209
Deaths,South Africa,Both,All Ages,All causes,Rate,2017,865.0458970581894,900.832155428502,834.2925099300319
Deaths,Mexico,Both,All Ages,All causes,Number,2017,711319.577012929,718770.1457378558,703472.7259621646
Deaths,Mexico,Both,All Ages,All causes,Rate,2017,561.9982230767013,567.8847563869522,555.7985956661986
Deaths,North Korea,Both,All Ages,All causes,Number,2017,235062.45339909778,259505.86571665917,209700.0287408586
Deaths,North Korea,Both,All Ages,All causes,Rate,2017,914.0479415311679,1009.0969397432765,815.4253341522569
Deaths,Iraq,Both,All Ages,All causes,Number,2017,152177.65908493203,160521.79698470677,144598.81818698908
Deaths,Iraq,Both,All Ages,All causes,Rate,2017,351.41351215988766,370.6820619781613,333.91221062809916
Deaths,Greenland,Both,All Ages,All causes,Number,2017,448.65782940644266,466.9329439903467,428.11746112885123
Deaths,Greenland,Both,All Ages,All causes,Rate,2017,798.9586279530644,831.5024943845453,762.3808544671414
Deaths,Canada,Both,All Ages,All causes,Number,2017,279402.96124054916,291871.4240976295,267866.2115309283
Deaths,Canada,Both,All Ages,All causes,Rate,2017,776.4877899007157,811.138851308108,744.4260492345218
Deaths,Trinidad and Tobago,Both,All Ages,All causes,Number,2017,11408.591157925579,13258.570101507208,9795.329903938502
Deaths,Trinidad and Tobago,Both,All Ages,All causes,Rate,2017,819.6976278865335,952.617050688395,703.7861709196669
Deaths,Armenia,Both,All Ages,All causes,Number,2017,28294.130461731314,29041.681894904807,27586.067961230794
Deaths,Armenia,Both,All Ages,All causes,Rate,2017,934.6536963901801,959.3479244457984,911.2639253469192
Deaths,Benin,Both,All Ages,All causes,Number,2017,80805.06914519507,91840.56163819836,71219.84080738331
